,,,,,Batting,,,,Batting Ratios,,,Batted Ball,,,,,,,,,Win Probability,,,Baserunning,,
Rk,Name,Age,Tm,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
1,CJ Abrams,23,WSN,115,0.431,181,0.311,0.337,6.10%,17.40%,9.60%,88,37.80%,32.90%,29.30%,23.20%,0.42,42.70%,47.60%,9.80%,0.8,0.40%,9.6,39%,75%,56%
2,José Abreu,37,HOU,77,0.131,-30,0.13,0.014,0.00%,23.40%,3.90%,87.5,28.30%,14.80%,50.00%,29.60%,1,11.10%,61.10%,27.80%,-1.3,-0.60%,-13.8,50%,,17%
3,Wilyer Abreu,25,BOS,82,0.399,147,0.373,0.181,2.40%,24.40%,11.00%,90.6,43.40%,17.00%,43.40%,32.10%,0.77,41.50%,32.10%,26.40%,0.1,0.00%,4.3,39%,100%,33%
4,Ronald Acuña Jr.,26,ATL,127,0.377,121,0.361,0.075,0.80%,26.00%,14.20%,91.1,48.60%,24.70%,54.80%,15.10%,1.21,34.20%,47.90%,17.80%,0.4,0.30%,4.1,55%,93%,63%
5,Willy Adames,28,MIL,125,0.363,128,0.329,0.148,2.40%,20.80%,12.80%,88.8,42.70%,20.70%,36.60%,34.10%,0.58,34.10%,48.80%,17.10%,0.1,0.00%,3.9,28%,80%,50%
6,Riley Adams,28,WSN,59,0.325,107,0.286,0.192,3.40%,28.80%,8.50%,89.7,40.50%,21.60%,45.90%,21.60%,0.85,29.70%,64.90%,5.40%,0,0.00%,-3.5,13%,,33%
7,Jo Adell,25,LAA,59,0.406,174,0.361,0.302,6.80%,23.70%,5.10%,88.7,52.50%,40.00%,35.00%,15.00%,0.54,15.00%,65.00%,20.00%,0,0.00%,2.9,39%,56%,20%
8,Ehire Adrianza,34,LAA,12,0.266,63,0.375,0,0.00%,25.00%,8.30%,88.1,37.50%,12.50%,50.00%,37.50%,1,0.00%,62.50%,37.50%,0.2,0.00%,0.7,50%,,0%
9,Nick Ahmed,34,SFG,89,0.29,87,0.324,0.06,0.00%,18.00%,3.40%,83.3,30.40%,17.40%,52.20%,18.80%,1.2,20.30%,71.00%,8.70%,0,0.00%,-1,19%,0%,33%
10,Ozzie Albies,27,ATL,88,0.413,156,0.375,0.188,2.30%,15.90%,5.70%,87.7,33.80%,22.70%,42.40%,31.80%,0.74,43.90%,48.50%,7.60%,0.5,0.30%,8.2,44%,100%,70%
11,Blaze Alexander,25,ARI,69,0.427,176,0.381,0.233,4.40%,21.70%,13.00%,88.2,42.20%,15.60%,46.70%,33.30%,0.91,15.60%,46.70%,37.80%,0.2,0.10%,5.4,36%,50%,50%
12,Nick Allen,25,OAK,77,0.226,43,0.22,0.071,1.30%,24.70%,6.50%,81.4,17.00%,20.80%,52.80%,11.30%,1.27,17.00%,56.60%,26.40%,-0.5,-0.20%,-6.6,13%,,17%
13,Pete Alonso,29,NYM,123,0.361,130,0.234,0.25,6.50%,18.70%,10.60%,86.9,31.00%,18.80%,41.20%,30.60%,0.7,24.70%,48.20%,27.10%,0.2,0.10%,2,36%,100%,58%
14,Jose Altuve,34,HOU,128,0.439,190,0.36,0.254,5.50%,14.10%,10.20%,87.5,37.20%,24.00%,36.50%,32.30%,0.6,44.80%,46.90%,8.30%,0.2,0.10%,2.3,30%,80%,36%
15,Francisco Alvarez,22,NYM,59,0.312,94,0.3,0.127,1.70%,23.70%,6.80%,87.8,35.90%,22.00%,58.50%,14.60%,1.41,22.00%,53.70%,24.40%,-0.6,-0.30%,-1.8,44%,100%,36%
16,Yordan Alvarez,27,HOU,124,0.369,142,0.261,0.22,5.70%,12.90%,8.90%,93.3,49.50%,17.90%,35.80%,41.10%,0.56,26.30%,54.70%,18.90%,0.4,0.20%,5.5,31%,,33%
17,Miguel Amaya,25,CHC,63,0.306,86,0.275,0.125,1.60%,25.40%,6.40%,88.8,41.50%,19.00%,50.00%,26.20%,1.05,28.60%,52.40%,19.00%,-0.3,-0.20%,-2.1,31%,,67%
